age,A2,C1,D2,D4,D8,D10,D15,job,F15,M8,E17,G1,J2,J4,J9,E1,E2,J17,M6,life_satisfaction
53,Well,Yes,Never,Often,Sometimes,Often,Often,Holds an ordinary or supported job,9,Good,Partner/spouse/boy-/girlfriend,Yes,Once a month,Several times a month,Less frequently,168,80,3,200,High
63,Average,Yes,Rarely,Often,Rarely,Rarely,Sometimes,Doesn't hold an ordinary or supported job,0,Average,Partner/spouse/boy-/girlfriend,Yes,Once a month,Less frequently,Less frequently,162,64,0,1000,Medium
60,Average,No,Never,Always,Rarely,Rarely,Often,Holds an ordinary or supported job,8,Very good,Partner/spouse/boy-/girlfriend,Yes,Once a month,Several times a week,Less frequently,167,64,10,300,High
38,Average,No,Rarely,Often,Sometimes,Often,Often,Holds an ordinary or supported job,9,Bad,Partner/spouse/boy-/girlfriend,Yes,Less frequently,Less frequently,Once a month,169,85,9,99999,High
39,Well,No,Never,Always,Sometimes,Always,Often,Holds an ordinary or supported job,9,Good,Partner/spouse/boy-/girlfriend,Yes,Once a week,Several times a month,Several times a month,168,102,1,200,High
40,Average,Yes,Rarely,Sometimes,Often,Sometimes,Always,Doesn't hold an ordinary or supported job,7,Average,Partner/spouse/boy-/girlfriend,Yes,Several times a month,Less frequently,Once a month,180,95,5,1000,Medium
44,Average,Yes,Sometimes,Rarely,Always,Never,Sometimes,Holds an ordinary or supported job,9,Average,Partner/spouse/boy-/girlfriend,Yes,Never,Never,Never,175,88,1,2500,High
62,Well,No,Never,Always,Rarely,Always,Always,Doesn't hold an ordinary or supported job,7,Good,Partner/spouse/boy-/girlfriend,Yes,Once a week,Several times a week,Less frequently,162,57,0,12000,High
53,Well,Yes,Rarely,Often,Sometimes,Always,Often,Holds an ordinary or supported job,9,Average,Siblings,Yes,Less frequently,Less frequently,Less frequently,185,99,1,1000,High
48,Very well,No,Always,Always,Always,Never,Rarely,Doesn't hold an ordinary or supported job,9,Very good,Partner/spouse/boy-/girlfriend,Yes,Never,Once a week,Several times a week,167,85,6,400,Low
43,Very well,No,Rarely,Often,Rarely,Rarely,Often,Holds an ordinary or supported job,8,Average,Partner/spouse/boy-/girlfriend,Yes,Once a month,Once a month,Less frequently,175,84,0,500,High
37,Well,No,Never,Always,Never,Often,Often,Holds an ordinary or supported job,7,Average,Partner/spouse/boy-/girlfriend,Yes,Several times a week,Several times a week,Less frequently,180,76,2,0,High
47,Average,No,Sometimes,Always,Sometimes,Sometimes,Always,,9,Average,Partner/spouse/boy-/girlfriend,Yes,Less frequently,Less frequently,Less frequently,183,100,0,0,High
44,Poor,Yes,Sometimes,Sometimes,Often,Sometimes,Rarely,,1,Good,Partner/spouse/boy-/girlfriend,Yes,Several times a week,Several times a week,Less frequently,178,92,0,600,Low
44,Well,No,Rarely,Often,Sometimes,Often,Often,Holds an ordinary or supported job,9,Average,Partner/spouse/boy-/girlfriend,Yes,Several times a month,Several times a month,Less frequently,150,45,1,200,High
47,Well,No,Rarely,Often,Rarely,Often,Often,Holds an ordinary or supported job,8,Good,Partner/spouse/boy-/girlfriend,Yes,Several times a month,Several times a month,Less frequently,184,120,2,2000,High
61,Average,Yes,Sometimes,Sometimes,Sometimes,Sometimes,Often,Holds an ordinary or supported job,8,Very good,Partner/spouse/boy-/girlfriend,Yes,Less frequently,Once a month,Never,170,69,2,0,High
52,Average,Yes,Rarely,Often,Sometimes,Often,Often,Doesn't hold an ordinary or supported job,0,Average,Others,Yes,Once a month,Several times a month,Less frequently,178,95,0,2000,High
48,Well,No,Never,Often,Rarely,Often,Always,Holds an ordinary or supported job,8,Good,Partner/spouse/boy-/girlfriend,Yes,Several times a month,Several times a month,Less frequently,185,112,10,10000,High
56,Very well,No,Rarely,Often,Rarely,Rarely,Always,Holds an ordinary or supported job,9,Good,Partner/spouse/boy-/girlfriend,Yes,Once a month,Less frequently,Less frequently,176,78,0,0,High
35,Very well,No,Rarely,Often,Sometimes,Often,Sometimes,Holds an ordinary or supported job,9,Good,Partner/spouse/boy-/girlfriend,Yes,Several times a month,Less frequently,Once a month,182,70,2,200,High
56,Very poor,Yes,Sometimes,Sometimes,Sometimes,Sometimes,Sometimes,Doesn't hold an ordinary or supported job,0,Good,Friends/colleagues,No,Less frequently,Refuse to answer,Never,163,62,0,0,Low
56,Average,No,Never,Always,Sometimes,Always,Sometimes,Holds an ordinary or supported job,7,Very good,Friends/colleagues,Yes,Once a month,Once a week,Never,166,68,1,500,High
47,Average,No,Never,Rarely,Rarely,Rarely,Often,Holds an ordinary or supported job,7,Good,Children,Yes,Several times a week,Several times a month,Less frequently,172,95,0,99999,Low
33,Average,Yes,Sometimes,Sometimes,Often,Always,Often,Doesn't hold an ordinary or supported job,6,Average,Friends/colleagues,Yes,Never,Several times a week,Once a month,170,998,2,1000,High
49,Well,No,Sometimes,Often,Sometimes,Rarely,Rarely,Holds an ordinary or supported job,7,Average,Friends/colleagues,Yes,Several times a month,Several times a week,Once a month,177,98,1,500,Medium
55,Well,No,Sometimes,Sometimes,Often,Rarely,Often,Holds an ordinary or supported job,8,Very bad,Partner/spouse/boy-/girlfriend,Yes,Once a week,Once a week,Less frequently,186,166,0,2000,Low
59,Poor,Yes,Often,Sometimes,Often,Always,Rarely,Holds an ordinary or supported job,3,Average,Partner/spouse/boy-/girlfriend,Yes,Once a week,Several times a month,Less frequently,182,80,5,34,Medium
63,Well,No,Never,Always,Rarely,Often,Often,Doesn't hold an ordinary or supported job,9,Very good,Partner/spouse/boy-/girlfriend,Yes,Once a week,Several times a week,Several times a month,172,78,0,50,High
62,Well,No,Never,Sometimes,Sometimes,Sometimes,Often,Holds an ordinary or supported job,7,Good,Partner/spouse/boy-/girlfriend,Yes,Less frequently,Once a week,Less frequently,184,115,0,1000,High
64,Average,Yes,Rarely,Often,Rarely,Often,Rarely,Doesn't hold an ordinary or supported job,4,Good,Partner/spouse/boy-/girlfriend,Yes,Once a week,Several times a month,Never,178,79,1,500,High
25,Well,Yes,Rarely,Often,Rarely,Often,Often,Holds an ordinary or supported job,9,Good,Parents,No,Once a month,Less frequently,Less frequently,172,71,1,1200,High
57,Well,No,Rarely,Always,Rarely,Rarely,Often,Holds an ordinary or supported job,9,Good,Partner/spouse/boy-/girlfriend,Yes,Several times a month,99,Never,183,115,2,400,High
56,Well,Yes,Rarely,Often,Sometimes,Often,Sometimes,Holds an ordinary or supported job,9,Good,Siblings,No,Once a week,Once a month,Once a month,180,80,0,2000,High
62,Well,No,Rarely,Always,Rarely,Often,Often,Holds an ordinary or supported job,9,Good,Partner/spouse/boy-/girlfriend,Yes,Less frequently,Several times a week,Several times a week,173,63,4,1000,High
25,Well,Yes,Rarely,Often,Always,Often,Often,Holds an ordinary or supported job,8,Good,Friends/colleagues,No,Several times a week,Once a month,Less frequently,163,86,0,950,High
44,Average,No,Sometimes,Rarely,Often,Often,Often,Holds an ordinary or supported job,9,Average,Partner/spouse/boy-/girlfriend,Yes,Once a month,Less frequently,Less frequently,180,87,2,0,High
35,Well,No,Rarely,Often,Sometimes,Often,Always,Holds an ordinary or supported job,9,Average,Partner/spouse/boy-/girlfriend,Yes,Several times a month,Several times a month,Less frequently,181,115,2,500,High
51,Well,No,Rarely,Often,Often,Sometimes,Often,Holds an ordinary or supported job,9,Good,Partner/spouse/boy-/girlfriend,Yes,Several times a week,Once a week,Once a month,169,73,3,500,High
44,Very well,No,Never,Always,Sometimes,Always,Always,Doesn't hold an ordinary or supported job,9,Average,Partner/spouse/boy-/girlfriend,Yes,Several times a month,Less frequently,Less frequently,174,57,0,300,High
61,Average,Yes,Rarely,Always,Rarely,Often,Often,Doesn't hold an ordinary or supported job,7,Average,Siblings,Yes,Several times a week,Once a week,Less frequently,179,90,2,400,High
51,Well,No,Never,Often,Never,Always,Often,Holds an ordinary or supported job,8,Good,Other family,Yes,Several times a month,Several times a month,Less frequently,172,70,0,1000,High
35,Well,No,Rarely,Often,Rarely,Often,Always,Holds an ordinary or supported job,9,Good,Partner/spouse/boy-/girlfriend,Yes,Once a week,Once a month,Once a month,168,58,0,3000,High
44,Very well,No,Never,Often,Rarely,Always,Often,Holds an ordinary or supported job,9,Average,Friends/colleagues,No,Several times a month,Once a month,Once a month,190,105,4,0,High
63,Well,No,Never,Always,Rarely,Always,Always,Holds an ordinary or supported job,9,Good,Partner/spouse/boy-/girlfriend,Yes,Once a month,Several times a week,Once a month,183,75,3,1000,High
51,Well,No,Sometimes,Often,Sometimes,Sometimes,Often,Holds an ordinary or supported job,9,Average,I dont share this with anyone,Yes,Less frequently,Several times a week,Once a week,165,56,1,0,Low
62,Well,No,Rarely,Often,Sometimes,Sometimes,Often,Holds an ordinary or supported job,8,Average,Partner/spouse/boy-/girlfriend,Yes,Less frequently,Less frequently,Less frequently,180,95,3,50,High
59,Well,No,Rarely,Often,Rarely,Often,Often,Holds an ordinary or supported job,9,Average,Partner/spouse/boy-/girlfriend,Yes,Several times a month,Less frequently,Less frequently,195,100,4,0,High
52,Average,No,Rarely,Always,Rarely,Rarely,Often,Holds an ordinary or supported job,8,Average,Partner/spouse/boy-/girlfriend,Yes,Once a month,Less frequently,Less frequently,171,58,0,100,High
57,Well,No,Rarely,Often,Often,Often,Sometimes,Holds an ordinary or supported job,9,Average,Partner/spouse/boy-/girlfriend,Yes,Several times a month,Once a week,Less frequently,160,52,2,500,High
53,Very well,No,Never,Often,Never,Always,Often,Holds an ordinary or supported job,9,Good,Partner/spouse/boy-/girlfriend,Yes,Several times a week,Several times a week,Once a week,185,91,3,1200,High
51,Average,Yes,Never,Often,Sometimes,Often,Often,Doesn't hold an ordinary or supported job,0,Average,Friends/colleagues,No,Never,Never,Never,172,67,3,100,Medium
61,Well,No,Rarely,Often,Often,Sometimes,Often,Doesn't hold an ordinary or supported job,9,Good,Partner/spouse/boy-/girlfriend,Yes,Several times a month,Several times a week,Less frequently,178,78,2,1000,High
38,Well,No,Never,Often,Rarely,Often,Often,Holds an ordinary or supported job,9,Average,Partner/spouse/boy-/girlfriend,Yes,Less frequently,Several times a month,Less frequently,192,106,0,1000,High
50,Average,No,Rarely,Often,Sometimes,Often,Often,Holds an ordinary or supported job,9,Good,Friends/colleagues,Yes,Several times a week,Several times a week,Less frequently,165,80,2,600,Medium
64,Well,No,Rarely,Sometimes,Rarely,Sometimes,Rarely,Doesn't hold an ordinary or supported job,7,Bad,Partner/spouse/boy-/girlfriend,Yes,Once a month,Less frequently,Once a month,185,112,0,300,High
36,Average,No,Rarely,Often,Sometimes,Sometimes,Often,Holds an ordinary or supported job,7,Average,Friends/colleagues,Yes,Several times a month,Less frequently,Less frequently,176,75,0,500,High
45,Average,Yes,Sometimes,Sometimes,Often,Sometimes,Sometimes,Holds an ordinary or supported job,2,Average,I dont share this with anyone,Yes,Less frequently,Less frequently,Less frequently,183,82,0,2000,Medium
55,Well,No,Never,Always,Rarely,Always,Often,Holds an ordinary or supported job,9,Average,Children,Yes,Several times a month,Several times a month,Less frequently,173,67,1,500,High
38,Very well,No,Never,Often,Sometimes,Always,Always,Holds an ordinary or supported job,9,Good,Partner/spouse/boy-/girlfriend,Yes,Once a week,Several times a week,Less frequently,162,61,0,200,High
25,Well,No,Rarely,Often,Sometimes,Often,Sometimes,Doesn't hold an ordinary or supported job,9,Good,Partner/spouse/boy-/girlfriend,Yes,Once a month,Once a week,Less frequently,162,60,1,0,High
64,Very well,No,Rarely,Often,Sometimes,Often,Always,Doesn't hold an ordinary or supported job,9,Good,Partner/spouse/boy-/girlfriend,Yes,Less frequently,Several times a month,Once a month,173,77,2,0,High
22,Very well,No,Never,Always,Never,Always,Always,Doesn't hold an ordinary or supported job,7,Good,Parents,Yes,Once a week,Once a month,Once a month,187,86,1,0,High
55,Well,Yes,Sometimes,Sometimes,Always,Always,Always,,2,Average,Partner/spouse/boy-/girlfriend,Yes,Less frequently,Once a month,Less frequently,174,73,2,100,High
47,Average,No,Sometimes,Sometimes,Often,Sometimes,Rarely,Holds an ordinary or supported job,8,Average,Partner/spouse/boy-/girlfriend,Yes,Several times a week,Less frequently,Less frequently,193,64,1,62,Medium
45,Very well,No,Never,Always,Never,Always,Always,Holds an ordinary or supported job,9,Good,Partner/spouse/boy-/girlfriend,Yes,Once a week,Several times a month,Less frequently,167,56,3,1000,High
57,Well,No,Rarely,Sometimes,Sometimes,Often,Sometimes,Holds an ordinary or supported job,7,Good,Partner/spouse/boy-/girlfriend,Yes,Several times a month,Several times a month,Less frequently,158,90,1,200,High
22,Well,No,Rarely,Sometimes,Rarely,Often,Often,Doesn't hold an ordinary or supported job,8,Average,Siblings,No,Once a week,Less frequently,Less frequently,185,95,2,0,High
50,Well,No,Rarely,Always,Rarely,Often,Always,Doesn't hold an ordinary or supported job,4,Bad,Partner/spouse/boy-/girlfriend,Yes,Less frequently,Daily,Less frequently,170,81,0,250,High
51,Well,Yes,Never,Sometimes,Often,Often,Always,Holds an ordinary or supported job,7,Good,Partner/spouse/boy-/girlfriend,Yes,Once a month,Less frequently,Once a month,171,87,1,0,High
56,Average,Yes,Rarely,Often,Rarely,Often,Sometimes,Holds an ordinary or supported job,6,Good,Partner/spouse/boy-/girlfriend,Yes,Several times a month,Several times a month,Once a month,999,80,1,300,High
42,Well,No,Never,Always,Rarely,Always,Always,Holds an ordinary or supported job,8,Good,I dont share this with anyone,Yes,Once a month,Less frequently,Less frequently,164,64,0,2000,High
54,Well,No,Rarely,Often,Sometimes,Always,Sometimes,Holds an ordinary or supported job,8,Bad,I dont share this with anyone,No,Once a week,Once a week,Once a month,156,60,1,0,High
62,Average,Yes,Never,Often,Rarely,Sometimes,Often,Doesn't hold an ordinary or supported job,3,Good,Friends/colleagues,Yes,Once a week,Several times a month,Less frequently,168,105,0,200,High
59,Well,No,Rarely,Often,Rarely,Always,Often,Holds an ordinary or supported job,9,Very good,Partner/spouse/boy-/girlfriend,Yes,Once a month,Once a month,Less frequently,165,85,0,1500,High
57,Poor,Yes,Often,Never,Often,Rarely,Never,Doesn't hold an ordinary or supported job,0,Average,Friends/colleagues,Yes,Once a month,Never,Less frequently,166,81,2,4900,Low
55,Well,No,Rarely,Often,Sometimes,Often,Often,Holds an ordinary or supported job,9,Good,Partner/spouse/boy-/girlfriend,Yes,Less frequently,Once a week,Less frequently,183,78,1,500,High
31,Well,Yes,Often,Sometimes,Sometimes,Sometimes,Always,Doesn't hold an ordinary or supported job,6,Average,Siblings,No,Daily,Once a week,Less frequently,164,68,0,1200,High
61,Average,No,Never,Often,Sometimes,Rarely,Often,Doesn't hold an ordinary or supported job,9,Average,Partner/spouse/boy-/girlfriend,Yes,Less frequently,Several times a week,Less frequently,186,78,2,1500,High
53,Average,Yes,Often,Sometimes,Often,Often,Often,Doesn't hold an ordinary or supported job,2,Average,Others,Yes,Less frequently,Less frequently,Less frequently,179,63,1,14000,Medium
34,Well,No,Rarely,Often,Often,Often,Often,Holds an ordinary or supported job,8,Very good,Partner/spouse/boy-/girlfriend,Yes,Several times a month,Several times a week,Once a month,170,77,8,6000,High
60,Well,Yes,Sometimes,Sometimes,Sometimes,Often,Sometimes,Doesn't hold an ordinary or supported job,2,Average,I dont share this with anyone,Yes,Once a month,Never,Less frequently,175,95,1,1500,High
43,Very well,No,Never,Sometimes,Rarely,Sometimes,Often,Holds an ordinary or supported job,8,Good,Partner/spouse/boy-/girlfriend,Yes,Once a month,Several times a month,Less frequently,177,67,3,0,High
45,Poor,Yes,Sometimes,Sometimes,Often,Sometimes,Often,Doesn't hold an ordinary or supported job,3,Average,Friends/colleagues,No,Less frequently,Less frequently,Never,168,69,2,4000,Low
60,Average,Yes,Rarely,Always,Rarely,Always,Often,Doesn't hold an ordinary or supported job,9,Good,Friends/colleagues,Yes,Several times a week,Several times a week,Once a month,177,84,2,300,High
55,Average,Yes,Never,Often,Sometimes,Always,Often,Holds an ordinary or supported job,7,Average,Partner/spouse/boy-/girlfriend,Yes,Once a month,Once a week,Less frequently,164,80,1,2000,High
23,Well,No,Rarely,Rarely,Rarely,Often,Always,Holds an ordinary or supported job,9,Good,Siblings,No,Several times a month,Several times a month,Once a month,163,70,3,12000,High
46,Very well,No,Rarely,Often,Sometimes,Often,Often,Doesn't hold an ordinary or supported job,9,Average,Partner/spouse/boy-/girlfriend,Yes,Once a month,Daily,Once a month,165,67,3,3000,High
61,Average,Yes,Rarely,Sometimes,Often,Always,Always,Holds an ordinary or supported job,5,Very good,Siblings,Yes,Less frequently,Once a week,Never,187,105,0,500,High
56,Average,No,Rarely,Sometimes,Often,Always,Often,Holds an ordinary or supported job,7,Good,Partner/spouse/boy-/girlfriend,Yes,Less frequently,Less frequently,Less frequently,168,58,1,6000,High
39,Average,No,Never,Always,Sometimes,Always,Always,Holds an ordinary or supported job,9,Good,Partner/spouse/boy-/girlfriend,Yes,Several times a month,Once a month,Once a month,172,73,8,700,High
55,Average,No,Often,Never,Often,Sometimes,Often,Doesn't hold an ordinary or supported job,2,Bad,I dont share this with anyone,Yes,Several times a week,Less frequently,Never,169,84,0,300,Medium
47,Well,No,Rarely,Often,Sometimes,Often,Always,Holds an ordinary or supported job,9,Very good,Partner/spouse/boy-/girlfriend,Yes,Daily,Several times a week,Several times a month,172,64,2,400,High
52,Well,Yes,Never,Sometimes,Sometimes,Rarely,Always,Holds an ordinary or supported job,4,Good,Friends/colleagues,Yes,Once a week,Once a month,Less frequently,165,88,0,2000,High
46,Very well,No,Rarely,Rarely,Rarely,Rarely,Rarely,Doesn't hold an ordinary or supported job,6,Bad,Partner/spouse/boy-/girlfriend,Yes,Daily,Less frequently,Less frequently,177,68,2,200,High
22,Well,No,Rarely,Sometimes,Always,Rarely,Always,Doesn't hold an ordinary or supported job,6,Average,Parents,No,Once a month,Several times a week,Once a month,187,100,10,0,Medium
27,Very well,No,Never,Often,Sometimes,Always,Sometimes,Holds an ordinary or supported job,9,Good,Partner/spouse/boy-/girlfriend,Yes,Several times a month,Once a month,Once a month,175,90,0,500,High
54,Average,No,Sometimes,Rarely,Often,Rarely,Sometimes,Holds an ordinary or supported job,7,Good,Partner/spouse/boy-/girlfriend,Yes,Less frequently,Less frequently,Less frequently,173,69,0,0,Low
57,Well,No,Rarely,Often,Rarely,Always,Always,Holds an ordinary or supported job,9,Average,Partner/spouse/boy-/girlfriend,Yes,Once a month,Less frequently,Never,170,73,0,0,High
34,Well,No,Sometimes,Rarely,Always,Rarely,Often,Doesn't hold an ordinary or supported job,7,Very bad,Partner/spouse/boy-/girlfriend,Yes,Once a month,Less frequently,Less frequently,164,70,2,2000,Low
60,Very well,No,Never,Always,Rarely,Often,Often,Holds an ordinary or supported job,9,Average,Partner/spouse/boy-/girlfriend,Yes,Less frequently,Once a month,Several times a month,165,75,0,2000,High
46,Well,Yes,Sometimes,Sometimes,Sometimes,Never,Rarely,Holds an ordinary or supported job,8,Average,Partner/spouse/boy-/girlfriend,Yes,Several times a week,Less frequently,Less frequently,173,64,1,1000,High
50,Very well,Yes,Rarely,Often,Rarely,Sometimes,Often,Holds an ordinary or supported job,8,Good,Partner/spouse/boy-/girlfriend,Yes,Once a week,Once a month,Once a month,180,105,2,10000,High
60,Well,No,Rarely,Often,Rarely,Often,Often,Holds an ordinary or supported job,8,Average,Friends/colleagues,Yes,Several times a week,Several times a week,Never,160,63,4,1000,High
53,Well,No,Rarely,Often,Rarely,Often,Often,Holds an ordinary or supported job,9,Good,Partner/spouse/boy-/girlfriend,Yes,Once a month,Several times a week,Several times a month,174,84,2,800,High
44,Well,No,Rarely,Often,Sometimes,Often,Always,Holds an ordinary or supported job,9,Good,Partner/spouse/boy-/girlfriend,Yes,Several times a month,Once a month,Less frequently,175,85,0,1900,High
41,Well,No,Rarely,Often,Always,Sometimes,Always,Holds an ordinary or supported job,8,Good,Partner/spouse/boy-/girlfriend,Yes,Less frequently,Less frequently,Less frequently,174,96,3,0,High
46,Well,Yes,Rarely,Often,Sometimes,Often,Always,Holds an ordinary or supported job,7,Good,Friends/colleagues,No,Less frequently,Less frequently,Once a month,179,82,2,250,High
30,Very well,No,Rarely,Sometimes,Rarely,Often,Always,Holds an ordinary or supported job,9,Average,Partner/spouse/boy-/girlfriend,Yes,Several times a month,Less frequently,Less frequently,169,78,0,1600,High
64,Well,No,Rarely,Often,Rarely,Often,Always,Doesn't hold an ordinary or supported job,9,Very good,Siblings,No,Less frequently,Several times a month,Once a month,168,68,1,1500,High
44,Well,No,Never,Always,Never,Sometimes,Always,Holds an ordinary or supported job,9,Very good,Partner/spouse/boy-/girlfriend,Yes,Several times a week,Several times a month,Less frequently,192,87,0,0,High
35,Well,Yes,Never,Always,Sometimes,Always,Always,Holds an ordinary or supported job,9,Bad,Partner/spouse/boy-/girlfriend,Yes,Several times a month,Once a month,Never,180,70,1,0,High
52,Well,No,Rarely,Sometimes,Rarely,Sometimes,Often,Holds an ordinary or supported job,9,Good,Partner/spouse/boy-/girlfriend,Yes,Several times a month,Several times a month,Less frequently,180,82,2,0,High
46,Average,No,Never,Always,Never,Rarely,Always,Doesn't hold an ordinary or supported job,9,Average,I dont share this with anyone,No,Several times a month,Less frequently,Never,159,59,0,2000,High
35,Average,No,Rarely,Always,Often,Often,Often,Holds an ordinary or supported job,7,Bad,Partner/spouse/boy-/girlfriend,Yes,Several times a month,Several times a week,Less frequently,168,71,4,1000,High
56,Average,Yes,Sometimes,Sometimes,Often,Sometimes,Sometimes,Doesn't hold an ordinary or supported job,4,Average,I dont share this with anyone,Yes,Less frequently,Less frequently,Once a month,183,80,0,0,Medium
30,Average,No,Rarely,Often,Sometimes,Often,Often,Holds an ordinary or supported job,8,Average,Parents,Yes,Once a month,Less frequently,Less frequently,190,105,0,0,Medium
38,Well,No,Never,Always,Rarely,Often,Always,Holds an ordinary or supported job,8,Good,Partner/spouse/boy-/girlfriend,Yes,Once a week,Once a week,Less frequently,167,61,1,8000,High
60,Average,No,Sometimes,Sometimes,Sometimes,Often,Often,Holds an ordinary or supported job,8,Average,Friends/colleagues,No,Never,Less frequently,Less frequently,190,92,4,100,Low
47,Very well,No,Never,Always,Never,Always,Always,Holds an ordinary or supported job,9,Very good,Partner/spouse/boy-/girlfriend,Yes,Several times a week,Once a week,Less frequently,180,75,1,0,High
50,Well,No,Never,Always,Sometimes,Sometimes,Always,Holds an ordinary or supported job,9,Average,Partner/spouse/boy-/girlfriend,Yes,Once a month,Once a week,Less frequently,182,88,2,500,High
38,Well,No,Never,Always,Always,Always,Sometimes,Holds an ordinary or supported job,9,Very good,Partner/spouse/boy-/girlfriend,Yes,Refuse to answer,Refuse to answer,Several times a month,177,77,1,500,High
58,Well,No,Never,Always,Never,Always,Always,Holds an ordinary or supported job,6,Good,I dont share this with anyone,No,Daily,Once a week,Never,198,100,2,2500,High
36,Very well,No,Rarely,Sometimes,Sometimes,Often,Often,Holds an ordinary or supported job,9,Bad,Others,Yes,Several times a month,Once a week,Less frequently,170,80,2,0,High
62,Well,No,Never,Rarely,Rarely,Sometimes,Often,Doesn't hold an ordinary or supported job,4,Average,Partner/spouse/boy-/girlfriend,Yes,Less frequently,Less frequently,Less frequently,179,103,4,3000,High
54,Very well,No,Never,Often,Sometimes,Sometimes,Always,Holds an ordinary or supported job,7,Average,Partner/spouse/boy-/girlfriend,Yes,Several times a week,Never,Once a month,164,63,1,2000,High
47,Well,No,Rarely,Often,Never,Rarely,Always,Holds an ordinary or supported job,9,Good,Partner/spouse/boy-/girlfriend,Yes,Once a month,Several times a month,Never,164,72,1,500,High
22,Very well,Yes,Never,Often,Rarely,Sometimes,Often,Doesn't hold an ordinary or supported job,0,Good,Parents,No,Several times a month,Several times a month,Several times a month,180,100,10,0,High
49,Well,Yes,Rarely,Sometimes,Sometimes,Often,Sometimes,Holds an ordinary or supported job,7,Average,Partner/spouse/boy-/girlfriend,Yes,Several times a month,Several times a month,Once a month,178,57,4,2500,Medium
52,Well,No,Never,Often,Never,Never,Often,Doesn't hold an ordinary or supported job,9,Good,Partner/spouse/boy-/girlfriend,Yes,Less frequently,Several times a month,Never,175,90,7,0,Medium
25,Very well,No,Rarely,Often,Often,Often,Often,Holds an ordinary or supported job,8,Average,Parents,Yes,Several times a week,Once a month,Less frequently,172,71,0,300,High
25,Very well,No,Never,Always,Rarely,Always,Always,Doesn't hold an ordinary or supported job,9,Average,Partner/spouse/boy-/girlfriend,Yes,Less frequently,Never,Less frequently,187,130,24,100,High
38,Well,No,Never,Often,Often,Always,Often,Holds an ordinary or supported job,9,Average,Friends/colleagues,Yes,Once a week,Several times a month,Several times a month,167,61,0,1500,High
54,Well,No,Rarely,Sometimes,Sometimes,Always,Often,Holds an ordinary or supported job,9,Good,Siblings,No,Several times a week,Several times a month,Less frequently,163,63,4,0,High
56,Average,No,Sometimes,Rarely,Often,Sometimes,Often,Holds an ordinary or supported job,7,Good,Partner/spouse/boy-/girlfriend,Yes,Once a month,Once a week,Once a month,161,67,2,500,Medium
52,Well,Yes,Rarely,Sometimes,Often,Rarely,Often,Holds an ordinary or supported job,8,Good,Siblings,Yes,Several times a week,Once a month,Less frequently,160,69,7,0,Low
51,Well,No,Never,Often,Sometimes,Often,Often,Holds an ordinary or supported job,8,Good,Partner/spouse/boy-/girlfriend,Yes,Several times a month,Several times a week,Less frequently,190,85,1,500,High
25,Well,No,Sometimes,Always,Often,Often,Always,Holds an ordinary or supported job,5,Average,Parents,Yes,Several times a month,Less frequently,Less frequently,165,150,0,6000,High
56,Very well,No,Never,Always,Rarely,Never,Always,Holds an ordinary or supported job,8,Very good,Partner/spouse/boy-/girlfriend,Yes,Less frequently,Once a month,Several times a month,179,78,1,300,High
36,Well,No,Never,Always,Rarely,Always,Often,Holds an ordinary or supported job,9,Average,Partner/spouse/boy-/girlfriend,Yes,Several times a month,Several times a month,Less frequently,174,69,50,10000,High
38,Well,No,Rarely,Often,Sometimes,Often,Often,Holds an ordinary or supported job,8,Bad,Friends/colleagues,Yes,Several times a month,Once a week,Less frequently,181,72,1,0,High
64,Well,No,Never,Often,Rarely,Rarely,Sometimes,Doesn't hold an ordinary or supported job,7,Average,I dont share this with anyone,Yes,Several times a month,Several times a month,Never,168,75,0,250,High
30,Well,No,Never,Often,Rarely,Always,Always,Holds an ordinary or supported job,8,Good,Partner/spouse/boy-/girlfriend,Yes,Once a month,Several times a month,Once a month,182,87,1,100,High
39,Well,No,Never,Always,Never,Always,Always,Holds an ordinary or supported job,9,Average,Friends/colleagues,Yes,Several times a month,Less frequently,Less frequently,182,90,0,6000,High
45,Average,No,Rarely,Often,Often,Often,Sometimes,Holds an ordinary or supported job,9,Very good,Partner/spouse/boy-/girlfriend,Yes,Less frequently,Once a month,Once a month,175,71,3,5000,Low
62,Well,Yes,Rarely,Often,Sometimes,Often,Often,Doesn't hold an ordinary or supported job,5,Good,Other family,No,Several times a week,Daily,Once a month,172,66,3,300,High
60,Well,No,Rarely,Always,Rarely,Always,Always,Doesn't hold an ordinary or supported job,9,Average,I dont share this with anyone,Yes,Several times a week,Several times a month,Less frequently,172,108,2,500,High
64,Average,No,Never,Sometimes,Often,Often,Often,Doesn't hold an ordinary or supported job,0,Average,Partner/spouse/boy-/girlfriend,Yes,Once a month,Several times a month,Less frequently,162,76,0,300,High
55,Well,No,Never,Always,Sometimes,Rarely,Always,,7,Average,Partner/spouse/boy-/girlfriend,Yes,Less frequently,Less frequently,Once a month,162,71,2,3000,High
53,Well,No,Rarely,Always,Sometimes,Always,Often,Holds an ordinary or supported job,9,Average,Partner/spouse/boy-/girlfriend,Yes,Once a month,Once a week,Less frequently,172,68,1,5000,High
61,Well,No,Sometimes,Always,Sometimes,Always,Always,Holds an ordinary or supported job,9,Very good,Partner/spouse/boy-/girlfriend,Yes,Less frequently,Once a week,Less frequently,187,75,2,1000,High
