age,A2,C1,D2,D4,D8,D10,D15,job,F15,M8,E17,G1,J2,J4,J9,E1,E2,J17,M6,life_satisfaction
38,Poor,Yes,Sometimes,Often,Always,Often,Sometimes,Holds an ordinary or supported job,6,Bad,Friends/colleagues,No,Less frequently,Several times a month,Once a month,173,130,3,1000,Low
24,Well,No,Never,Often,Rarely,Always,Often,Holds an ordinary or supported job,9,Good,Parents,No,Refuse to answer,Several times a week,Several times a month,173,62,5,0,High
55,Well,No,Never,Always,Never,Always,Always,,9,Good,Siblings,No,Several times a week,Several times a week,Less frequently,177,98,5,200,High
31,Very well,No,Never,Always,Rarely,Always,Always,Holds an ordinary or supported job,9,Good,Partner/spouse/boy-/girlfriend,Yes,Once a month,Several times a month,Less frequently,186,90,2,500,High
63,Well,Yes,Rarely,Often,Rarely,Often,Often,Doesn't hold an ordinary or supported job,2,Average,Others,No,Once a week,Daily,Less frequently,164,73,3,3000,High
38,Well,Yes,Rarely,Sometimes,Often,Always,Always,Holds an ordinary or supported job,8,Good,Partner/spouse/boy-/girlfriend,Yes,Once a month,Less frequently,Less frequently,168,65,0,900,High
61,Poor,Yes,Rarely,Sometimes,Rarely,Rarely,Sometimes,Doesn't hold an ordinary or supported job,1,Average,Friends/colleagues,No,Once a month,Once a week,Once a month,188,999,0,0,High
38,Well,No,Never,Often,Never,Always,Often,Holds an ordinary or supported job,7,Good,Partner/spouse/boy-/girlfriend,Yes,Less frequently,Less frequently,Less frequently,181,80,1,12000,High
41,Average,No,Rarely,Often,Rarely,Often,Often,Holds an ordinary or supported job,9,Average,Partner/spouse/boy-/girlfriend,Yes,Several times a month,Once a month,Less frequently,185,68,3,0,High
38,Well,No,Sometimes,Often,Rarely,Often,Often,Holds an ordinary or supported job,9,Average,Friends/colleagues,Yes,Several times a month,Several times a month,Less frequently,179,90,4,2000,Low
39,Well,No,Rarely,Often,Sometimes,Often,Often,Holds an ordinary or supported job,9,Average,Partner/spouse/boy-/girlfriend,Yes,Several times a month,Once a week,Less frequently,163,63,1,500,High
39,Well,No,Never,Always,Always,Always,Often,Doesn't hold an ordinary or supported job,9,Good,Partner/spouse/boy-/girlfriend,Yes,Once a week,Less frequently,Less frequently,172,69,0,3000,High
58,Average,No,Rarely,Rarely,Often,Sometimes,Always,,8,Average,I dont share this with anyone,No,Less frequently,Once a month,Less frequently,163,60,1,0,High
40,Poor,Yes,Sometimes,Often,Sometimes,Often,Often,Holds an ordinary or supported job,9,Average,Partner/spouse/boy-/girlfriend,Yes,Once a week,Several times a month,Several times a month,174,62,2,75,Low
39,Average,Yes,Often,Sometimes,Always,Rarely,Always,Doesn't hold an ordinary or supported job,7,Bad,I dont share this with anyone,Yes,Refuse to answer,Never,Less frequently,170,73,3,500,High
33,Well,Yes,Rarely,Sometimes,Sometimes,Sometimes,Often,Doesn't hold an ordinary or supported job,9,Good,Partner/spouse/boy-/girlfriend,Yes,Once a week,Once a month,Less frequently,173,115,0,20000,High
34,Well,No,Rarely,Often,Rarely,Often,Often,Holds an ordinary or supported job,9,Average,Partner/spouse/boy-/girlfriend,Yes,Several times a month,Less frequently,Never,167,62,0,3500,High
46,Well,No,Never,Always,Rarely,Always,Always,Holds an ordinary or supported job,9,Good,Partner/spouse/boy-/girlfriend,Yes,Once a week,Once a month,Less frequently,168,67,1,100,High
36,Well,No,Rarely,Often,Rarely,Often,Rarely,Holds an ordinary or supported job,7,Average,Partner/spouse/boy-/girlfriend,Yes,Once a month,Once a week,Once a month,165,67,2,5000,High
46,Well,No,Rarely,Sometimes,Often,Sometimes,Sometimes,Holds an ordinary or supported job,9,Good,Friends/colleagues,Yes,Once a month,Less frequently,Less frequently,185,85,2,0,Medium
61,Well,No,Rarely,Often,Sometimes,Often,Often,Holds an ordinary or supported job,9,Good,I dont share this with anyone,Yes,Less frequently,Never,Once a month,172,60,2,100,High
49,Well,No,Sometimes,Sometimes,Always,Never,Sometimes,Holds an ordinary or supported job,7,Very bad,I dont share this with anyone,No,Once a week,Once a month,Several times a month,158,55,2,5000,Low
60,Average,Yes,Rarely,Often,Sometimes,Sometimes,Always,Holds an ordinary or supported job,7,Good,Partner/spouse/boy-/girlfriend,Yes,Once a week,Once a week,Several times a month,165,58,1,1500,High
